date,sentiment_sum,sentiment_average,count(*),query
2012-03-06,0,0.0000,44,None
2012-03-07,2,0.0488,41,None
2012-03-08,-4,-0.0833,48,None
2012-03-09,4,0.0800,50,None
2012-03-10,-1,-0.0588,17,None
2012-03-11,-3,-0.1429,21,None
2012-03-12,3,0.0625,48,None
2012-03-13,-7,-0.1707,41,None
2012-03-14,3,0.0638,47,None
2012-03-15,-12,-0.2400,50,None
2012-03-16,-2,-0.0435,46,None
2012-03-17,-2,-0.1538,13,None
2012-03-18,-1,-0.0588,17,None
2012-03-19,3,0.0714,42,None
2012-03-20,-4,-0.0851,47,None
2012-03-21,9,0.1837,49,None
2012-03-22,-5,-0.1042,48,None
2012-03-23,-4,-0.0800,50,None
2012-03-24,0,0.0000,9,None
2012-03-25,-1,-0.0714,14,None
2012-03-26,-1,-0.0213,47,None
2012-03-27,1,0.0200,50,None
2012-03-28,-3,-0.0638,47,None
2012-03-29,2,0.0426,47,None
2012-03-30,-5,-0.1064,47,None
2012-03-31,1,0.0588,17,None
2012-04-01,0,0.0000,19,None
2012-04-02,-2,-0.0408,49,None
2012-04-03,4,0.0889,45,None
2012-04-04,-4,-0.0851,47,None
2012-04-05,-3,-0.0612,49,None
2012-04-06,4,0.1379,29,None
2012-04-07,1,0.1000,10,None
2012-04-08,-5,-0.2273,22,None
2012-04-09,5,0.1163,43,None
2012-04-10,7,0.1522,46,None
2012-04-11,-7,-0.1489,47,None
2012-04-12,1,0.0222,45,None
2012-11-19,-1,-0.0200,50,None
2012-11-20,-7,-0.1429,49,None
2012-11-21,-3,-0.0612,49,None
2012-11-22,-1,-0.0208,48,None
2012-11-23,1,0.0244,41,None
2012-11-24,-1,-0.1000,10,None
2012-11-25,1,0.0588,17,None
2012-11-26,5,0.1000,50,None
2012-11-27,1,0.0217,46,None
2012-11-28,-8,-0.1667,48,None
2012-11-29,-6,-0.1200,50,None
2012-11-30,9,0.1837,49,None
2012-12-01,0,0.0000,14,None
2012-12-02,-13,-0.3611,36,None
2012-12-03,-15,-0.3191,47,None
2012-12-04,-5,-0.1111,45,None
2012-12-05,-8,-0.1600,50,None
2012-12-06,4,0.0851,47,None
2012-12-07,-3,-0.0638,47,None
2012-12-08,5,0.2381,21,None
2012-12-09,-2,-0.0833,24,None
2012-12-10,5,0.1020,49,None
2012-12-11,-4,-0.0833,48,None
2012-12-12,-9,-0.1957,46,None
2012-12-13,1,0.0217,46,None
2012-12-14,1,0.0200,50,None
2012-12-15,1,0.0526,19,None
2012-12-16,0,0.0000,22,None
2012-12-17,4,0.0816,49,None
2012-12-18,-5,-0.1316,38,None
2012-12-19,5,0.1042,48,None
2012-12-20,2,0.0417,48,None
2012-12-21,1,0.0208,48,None
2012-12-22,-2,-0.0741,27,None
2012-12-23,-2,-0.2000,10,None
2012-12-24,4,0.0816,49,None
2012-12-25,-1,-0.0370,27,None
2012-12-26,-2,-0.0800,25,None
2012-12-27,3,0.0625,48,None
2012-12-28,-1,-0.0213,47,None
